142 1273255 0
1021 106794 0
2068 2100201 0
5016 1412678 0
5980 6830 0
7966 11232 0
12740 930293 0
13238 934984 0
13521 14458 0
15019 277978 0
20881 603985 0
23260 779338 0
23800 1454825 0
23986 27372 0
24902 363130 0
25815 614842 0
27759 616091 0
28894 30691 0
29184 916625 0
29913 33069 0
30079 608889 0
30212 616842 0
34381 39178 0
34418 638389 0
34732 625122 0
34850 1138103 0
34985 45841 0
35050 633653 0
37349 49276 0
37406 613277 0
37507 634023 0
37635 654147 0
37714 55767 0
37839 44242 0
38109 920908 0
38803 42722 0
39692 1755173 0
41236 647187 0
43606 657229 0
43723 66879 0
44505 58463 0
44888 662021 0
45724 676383 0
45841 636461 0
46294 71977 0
46571 635014 0
46884 1043101 0
47546 48799 0
48497 1005578 0
48778 999977 0
50239 1111063 0
50292 1780657 0
50786 1213637 0
50943 59246 0
54041 628521 0
54796 682515 0
54814 1111897 0
55418 70441 0
57004 66403 0
57128 650795 0
57651 1780013 0
58175 376622 0
58666 651103 0
58666 654893 0
58666 686860 0
58676 59488 0
58976 460760 0
59500 659672 0
59775 668660 0
60213 319458 0
60416 83762 0
60549 1019512 0
60995 1471630 0
61251 1823263 0
61359 672436 0
61839 643755 0
62057 656971 0
62115 83950 0
62531 83800 0
63068 68620 0
63415 675619 0
63524 212877 0
63530 664482 0
63549 646644 0
63590 1199276 0
64071 671810 0
64280 1215859 0
65092 657888 0
65195 306470 0
65536 1893822 0
65629 1934700 0
65966 70755 0
66540 1010326 0
67236 1861203 0
67332 522114 0
67387 71386 0
67619 1862729 0
67808 85415 0
68135 1931905 0
68488 2147067 0
68938 638775 0
69124 494145 0
69312 73392 0
71102 82728 0
71347 1035808 0
72499 675093 0
72738 1194188 0
72805 329745 0
73948 1070263 0
74079 76414 0
74690 1889408 0
75153 89134 0
76144 680135 0
76597 375940 0
76932 1205356 0
78054 681465 0
78220 653600 0
78474 392178 0
78562 104577 0
78595 1837165 0
78616 650111 0
78809 1910803 0
79022 99496 0
79234 1931872 0
79307 1909482 0
79894 1500345 0
80049 1276499 0
80252 682131 0
80436 383067 0
80963 2043200 0
81112 1504101 0
81447 89326 0
81616 1116792 0
82333 1222501 0
82666 1138301 0
83575 325697 0
84545 86617 0
85764 1118051 0
86425 97580 0
87141 699240 0
87156 1873619 0
87333 117143 0
88268 1350414 0
88676 692820 0
89438 1147642 0
89660 319903 0
90429 1858302 0
90447 1390635 0
90447 1506361 0
90716 1843770 0
92379 101463 0
92519 1906195 0
92548 100099 0
93188 2087102 0
93385 102302 0
93733 1544003 0
94147 1476366 0
94300 673804 0
95207 100328 0
95590 324507 0
95607 685593 0
95706 1884538 0
96056 106172 0
96087 1949022 0
96227 1424865 0
96370 245550 0
96884 703764 0
97164 104624 0
97244 109760 0
97276 1129516 0
97703 1935978 0
97752 716474 0
97766 512273 0
97779 1354692 0
97868 702438 0
98021 1127801 0
99163 2086288 0
99761 1329707 0
100136 110303 0
100261 576111 0
100383 704900 0
100610 114660 0
100880 701136 0
101041 108363 0
101332 1250083 0
101923 106360 0
102221 1196985 0
102548 107578 0
103162 702489 0
103295 104363 0
103673 1157831 0
103750 1242207 0
104155 1280431 0
105438 2070188 0
106314 110813 0
106437 1332064 0
107492 1341084 0
110049 1373854 0
110218 1257486 0
110976 236770 0
111920 1312932 0
112805 2023266 0
112837 1981399 0
113018 1384678 0
113924 122251 0
114414 2027773 0
114568 122440 0
114892 2092852 0
115728 253175 0
115728 755628 0
115844 277978 0
116497 261164 0
116523 396136 0
117628 121644 0
120034 1511750 0
122163 1516998 0
123409 772376 0
125915 1330599 0
128451 2182116 0
131605 765579 0
136112 140792 0
137546 154297 0
143285 144434 0
150399 151652 0
161058 607667 0
163918 910860 0
167084 1458893 0
174572 1796721 0
176671 1463807 0
194088 1475978 0
200719 203740 0
202181 1849402 0
203816 374901 0
204167 1061381 0
205464 1005750 0
206645 472985 0
207395 1075281 0
209870 1865723 0
212763 1920732 0
