77;15
103;1
246;6
478;1
508;10
1066;1
1086;1
1354;1
1668;1
1861;303
1862;6
1914;1
2039;33
2074;28
2338;1749
2519;94
2595;1
2803;1
2982;1
3157;1
3237;3
3270;21
3612;1
3760;1
4050;10
4545;3
4962;71
5798;1
6240;3
7173;3
7654;3
8075;1
8084;6
8111;6
8473;1
8919;1
9285;1
10156;6
10408;3
10501;1
10877;55
11619;1
12172;57
12254;1
13682;10
13755;3
14557;10
15397;10
15474;3
15683;1
15881;1
16566;1
17052;1
17241;1
17661;1
17880;1
18072;3
18332;1
18617;1
18734;1
18948;1
19063;1
19367;3
20498;6
21050;6
21276;1
21410;1
21656;1
21784;6
22819;1
23114;1
23582;15
24070;6
24499;3
24758;1
24902;1
25515;1
25791;1
26044;3
26329;1
26490;1
26682;1
26803;3
27300;1
27935;1
28036;1
28168;15
28179;6
28323;1
28327;3
28539;3
28664;1
28708;1
29190;1
29197;1
29608;1
30453;1
30707;1
31172;45
31558;1
31602;14
31638;1
32232;1
32551;45
33061;1
33393;1
33707;1
33874;3
34089;21
34106;1
34922;1
35060;6
35156;1
35222;1
35853;1
35989;3
36033;390
36675;1
36746;1
36938;6
36990;1
37352;1
37380;1
37386;1
37929;3
37947;1
38432;1
38508;1
38539;1
38803;3
38992;3
39030;1
39462;1
39659;10
39723;3
39864;1
40578;1
40649;1
40867;10
41269;3
41340;1
41603;1
41608;1
41639;1
41686;6
41764;1
41787;1
42010;1
42724;6
43405;3
43637;1
43907;1
44066;1
44197;10
44755;1
45149;1
45181;1
45186;1
45390;1
45428;1
45616;1
45697;1
45730;1
46148;1
46299;1
46742;1
46746;1
46911;3
46963;1
46995;1
47077;1
47107;6
48359;1
48381;3
48862;1
49839;3
49971;1
50057;6
50434;1
50667;1
51014;3
51480;1
52199;3
52284;1
52391;1
52634;1
52661;3
52889;6
53562;1
53593;6
53657;3
53730;3
54026;45
54091;6
54756;1
54829;1
54832;28
54859;6
55145;1
55166;1
55173;1
55279;1
55500;1
55634;1
56817;1
57030;55
57130;6
57300;36
57333;1
57354;1
57518;1
57581;1
57626;304
57937;1
